,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
2730,Jasmine House,50000,Flat / Apartment,680,2,2,2, Battersea,London,SW18 1GJ
2731,Admiral Court,160000,Flat / Apartment,1282,2,2,2, Chelsea Harbour,London,SW10 0UU
2732,Seward Street,70000,Flat / Apartment,836,2,2,2,Clerkenwell,London,EC1V 3PA
2733,Shirland Road,78000,Flat / Apartment,767,2,2,2,Maida Vale,London,W9 2EQ
2734,Graham Terrace,275000,House,1782,4,4,4,Belgravia,London,SW1W 8JE
2735,Lexham Gardens,66000,Flat / Apartment,603,1,1,1,,London,W8 6JE
2736,Mandrake Road,119500,House,1602,5,5,5,,London,SW17 7PT
2737,Inglethorpe Street,169900,House,1993,5,5,5,Fulham,London,SW6 6NX
2738,Cedarside Apartments,80000,Flat / Apartment,937,2,2,2,3 Albert Road,Queens Park,NW6 5FT
2739,Blandfield Road,125000,House,1450,3,3,3,,London,SW12 8BG
2740,Densham House,80000,Flat / Apartment,945,3,3,3, St. John's Wood,London,NW8 7NT
2741,Gorst Road,225000,House,2351,5,5,5,,London,SW11 6JE
2742,Horizons Tower,125000,Flat / Apartment,1203,2,2,2, Canary Wharf,London,E14 9RG
2743,Thirlmere Road,187500,House,3478,7,7,7,,London,SW16 1QW
2744,Greenford Avenue,125000,House,2804,5,5,5,Hanwell,London,W7 3QS
2745,Stokenchurch Street,275000,House,2605,6,6,6, Fulham,London,SW6 3TR
2746,Winfrith Road,55000,Flat / Apartment,896,2,2,2,,London,SW18 3BD
2747,Great Titchfield Street,74500,Flat / Apartment,703,2,2,2,Fitzrovia,London,W1W 6RR
2748,Dorland Court,52500,Flat / Apartment,654,2,2,2, Putney,London,SW15 2UG
2749,Canaletto Tower,115000,Flat / Apartment,882,2,2,2,257 City Road,London,EC1V 1AE
2750,Macfarlane Road,250000,House,2861,5,5,5,,London,W12 7JY
2751,Forest Close,799999,House,2156,4,4,4,Waltham Abbey,Essex,EN9 3QR
2752,Elsworthy Rise,105000,New development,612,1,1,1,Primrose Hill,London,NW3 3DS
2753,Bickenhall Street,290000,Penthouse,1455,2,2,2,Marylebone,London,W1U 6BN
2754,Upper Wimpole Street,1195000,House,7226,5,5,5,Marylebone,London,W1G 6LU
2755,Sandown Avenue,375000,House,5554,6,6,6,Esher,Surrey,KT10 9NT
2756,Leopold Court,85000,Flat / Apartment,1344,2,2,2, Esher,Surrey,KT10 9BW
2757,Streathbourne Road,197500,House,2910,7,7,7,,London,SW17 8QY
2758,Fairfax Road,280000,House,2959,5,5,5, Chiswick,London,W4 1EW
2759,Cranley Gardens,140000,Flat / Apartment,732,2,2,2,South Kensington,London,SW7 3BD
2760,White Hart Lane,72500,Flat / Apartment,1242,2,2,2,Barnes,London,SW13 0PZ
2761,Chenies Mews,20000,Flat / Apartment,1335,2,2,2,,London,WC1E 6HU
2762,Overstrand Mansions,85000,Flat / Apartment,838,2,2,2,Prince of Wales Drive,London,SW11 4HA
2763,Tottenham Road,25500,Flat / Apartment,440,1,1,1,De Beauvoir,London,N1 4EP
2764,Englewood Road,79500,Flat / Apartment,919,2,2,2,,London,SW12 9NZ
2765,Hollen Street,150000,New development,843,1,1,1,Soho,London,W1F 8AZ
2766,One Kensington Gardens,595000,Penthouse,1993,3,3,3,4 De Vere Gardens,London,W8 5AE
2767,Courtnell Street,325000,House,1813,3,3,3,,London,W2 5BX
2768,Chi Building,55000,Flat / Apartment,893,2,2,2,54 Crowder Street,London,E1 0EZ
2769,Patshull Road,50000,Flat / Apartment,418,1,1,1,Kentish Town,London,NW5 2JY
2770,Ernle Road,295000,House,3601,6,6,6,Wimbledon,London,SW20 0HJ
2771,Vanderbilt Road,113500,House,1675,4,4,4, Wandsworth,London,SW18 3BG
2772,Potter Street,77500,House,1469,4,4,4,Northwood,Middlesex,HA6 1QH
2773,Freegrove Road,1799500,House,2761,6,6,6,Holloway,London,N7 9RG
2774,Dalston Lane,65000,Flat / Apartment,1018,2,2,2,Hackney,London,E8 1LX
2775,Wild Hatch,235000,House,2835,4,4,4,Hampstead Garden Suburb,London,NW11 7LD
2776,Earl's Court Square,79500,Flat / Apartment,666,2,2,2,,London,SW5 9DG
2777,Keepier Wharf,190000,Flat / Apartment,1963,4,4,4, Limehouse,London,E14 8DH
2778,Cambridge Road,195000,House,1907,5,5,5,Barnes,London,SW13 0PG
2779,Soval Court,95000,Flat / Apartment,1580,3,3,3, Northwood,Middlesex,HA6 2FS
2780,Palace Gate,185000,Flat / Apartment,1332,2,2,2,,London,W8 5LY
2781,Academy Gardens,495000,New development,2011,2,2,2,Duchess of Bedfords Walk,London,W8 7QQ
2782,Church Street,268500,House,3873,6,6,6,Hampton,Middlesex,TW12 2EG
2783,Nutley Terrace,399500,House,3480,3,3,3,Hampstead,London,NW3 5BX
2784,St. Edmunds Terrace,697500,Flat / Apartment,2583,3,3,3,St John's Wood,London,NW8 7ED
2785,Dunstable Mews,225000,House,1269,2,2,2,Marylebone,London,W1G 6BT
2786,Elm Grove Road,259500,House,3100,5,5,5,Barnes,London,SW13 0BX
2787,Abbotts Close,65000,Flat / Apartment,767,2,2,2, Islington,London,N1 2HJ
2788,Carmichael Court,68500,Flat / Apartment,783,3,3,3, Barnes,London,SW13 0HA
2789,Pont Street,1945000,Flat / Apartment,4699,5,5,5,,London,SW1X 0AD
2790,Crescent Road,165000,House,2809,4,4,4,Kingston upon Thames,Surrey,KT2 7RF
2791,Mint Street,60000,Flat / Apartment,1026,3,3,3,Bethnal Green,London,E2 6FX
2792,Amhurst Road,51500,Flat / Apartment,518,1,1,1,Hackney,London,E8 1JH
2793,Calico Apartments,699950,Flat / Apartment,743,2,2,2,18A Varden Street,London,E1 2AR
2794,College Court,75000,Flat / Apartment,1072,4,4,4,Queen Caroline Street,London,W6 9DY
2795,Battersea Park Road,599950,Flat / Apartment,657,2,2,2,Battersea,London,SW11 4ND
2796,Clapham Common North Side,269500,House,2567,5,5,5,,London,SW4 9SD
2797,Coleherne Mews,360000,New development,2000,3,3,3,,London,SW10 9DZ
2798,Maine Tower,105000,New development,1075,3,3,3, Canary Wharf,London,E14 9DQ
2799,Regency Walk,52500,Bungalow,583,2,2,2,Richmond,Surrey,TW10 6AU
2800,Pendant Court,57500,Flat / Apartment,810,2,2,2, Newham,London,E16 2TF
2801,Yvon House,50000,Flat / Apartment,536,1,1,1,Alexandra Avenue,London,SW11 4GA
2802,Norton House,79500,Flat / Apartment,753,2,2,2,Duke of Wellington Avenue,London,SE18 6EY
2803,Coborn Mews,55000,Flat / Apartment,574,2,2,2,Coborn Street,London,E3 2AB
2804,Television Centre,123500,Flat / Apartment,960,2,2,2,4 Wood Crescent,London,W12 7GP
2805,Montagu Square,259500,Flat / Apartment,1452,3,3,3,Marylebone,London,W1H 2LW
2806,Beech Drive,235000,House,5303,5,5,5, Tadworth,Surrey,KT20 6PP
2807,Church Path,90000,House,1467,3,3,3,Bollo Bridge Road,London,W3 8AY
2808,Blurton Road,127500,House,1730,3,3,3,,London,E5 0NH
2809,Prince Albert Court,270000,Flat / Apartment,1665,3,3,3,33 Prince Albert Road,London,NW8 7LU
2810,Apex House,65000,Flat / Apartment,798,3,3,3, Brick Lane,London,E1 6LF
2811,Gowrie Road,47500,Flat / Apartment,425,1,1,1,,London,SW11 5NR
2812,Landor Road,45000,Flat / Apartment,647,1,1,1,,London,SW9 9PH
2813,Queensland Road,55000,New development,728,2,2,2,Highbury,London,N7 7EZ
2814,Sigdon Road,115000,House,1398,3,3,3,Hackney,London,E8 1AP
2815,Weston Road,59500,Flat / Apartment,702,2,2,2,Chiswick,London,W4 5NH
2816,Princes Gate,750000,Flat / Apartment,2290,3,3,3,,London,SW7 1QJ
2817,Westover Hill,485000,House,5613,5,5,5,Hampstead,London,NW3 7UH
2818,Rusholme Road,319500,House,4923,6,6,6,Putney,London,SW15 3JX
2819,Ardwick Road,79500,New development,925,2,2,2,Fortune Green,London,NW2 2BX
2820,Sudbrook Lane,310000,House,3080,5,5,5,Richmond,Surrey,TW10 7AY
2821,Cedars Mews,229500,House,2454,4,4,4,,London,SW4 0QD
2822,Endlesham Road,280000,House,2872,5,5,5,,London,SW12 8JL
2823,Kingswood Road,145000,House,2147,3,3,3,,London,SW19 3ND
2824,Althorp Road,295000,New development,3336,6,6,6,,London,SW17 7ED
2825,Homestead Road,62500,Flat / Apartment,537,2,2,2,Fulham,London,SW6 7DB
2826,Chaucer Road,10000,House,1502,3,3,3,,London,W3 6DP
2827,Eltham Court,57500,New development,800,2,2,2, West Ealing,London,W13 8RA
2828,High Street,109500,House,1885,4,4,4,Esher,Surrey,KT10 9QA
2829,Moira Court,42500,Flat / Apartment,590,2,2,2,Balham High Road,London,SW17 7AQ
2830,Hannaford Walk,349995,Flat / Apartment,486,1,1,1,,London,E3 3TF
2831,Purcell Mansions,110000,Flat / Apartment,1335,3,3,3, Barons Court,Fulham,W14 9TP
2832,Godolphin Road,180000,House,2366,4,4,4,,London,W12 8JN
2833,Poplar Grove,105000,Flat / Apartment,958,2,2,2,,London,W6 7RF
2834,Fulham Park Gardens,160000,Flat / Apartment,1763,4,4,4,Fulham,London,SW6 4JZ
2835,Lonsdale Road,450000,House,3908,6,6,6,Barnes,London,SW13 9JS
2836,Grosvenor Gardens,109500,House,1838,4,4,4,Woodford Green,Essex,IG8 0AR
2837,Dolben Court,120000,Flat / Apartment,1083,2,2,2,Montaigne Close,London,SW1P 4BB
2838,Kingston House South,249500,Flat / Apartment,1753,3,3,3,Ennismore Gardens,London,SW7 1NF
2839,Cabul Road,127500,House,1750,4,4,4,Battersea,London,SW11 2PN
2840,Dalmeny Court,150000,Flat / Apartment,798,2,2,2, St. James's,London,SW1Y 6BL
2841,Shirland Road,60000,Flat / Apartment,630,2,2,2,Maida Vale,London,W9 2EL
2842,Randolph Avenue,110000,Flat / Apartment,908,2,2,2,,London,W9 1PF
2843,Grand Drive,57500,House,971,3,3,3,Raynes Park,London,SW20 9DG
2844,Mandalay Road,92500,Flat / Apartment,893,2,2,2,Clapham,London,SW4 9EE
2845,Manor Road,149500,House,2433,4,4,4, Loughton,Essex,IG10 4AD
2846,Southwell Gardens,475000,Flat / Apartment,2500,3,3,3,,London,SW7 4SB
2847,Napier Road,20000,House,2189,3,3,3,,London,W14 8LQ
2848,Battersea Bridge Road,799950,Flat / Apartment,1040,2,2,2,,Battersea,SW11 3AS
2849,Fielding Road,130000,House,1347,3,3,3,Chiswick,London,W4 1DB
2850,Schubert Road,110000,Flat / Apartment,2043,4,4,4,Putney,London,SW15 2QS
2851,Great Eastern Street,120000,Flat / Apartment,890,1,1,1,,London,EC2A 3EP
2852,Nottingham Place,925000,House,5139,4,4,4,,London,W1U 5LU
2853,Rivermead,149900,House,3238,5,5,5,East Molesey,Surrey,KT8 9AZ
2854,The Heights,47500,Flat / Apartment,977,3,3,3, Watford,Hertfordshire,WD19 4PU
2855,Mallinson Road,92500,Flat / Apartment,944,2,2,2,,London,SW11 1BP
2856,Addisland Court,145000,Flat / Apartment,961,2,2,2,Holland Villas Road,London,W14 8DA
2857,Fitzgerald Road,199500,House,3443,5,5,5,Thames Ditton,Surrey,KT7 0TU
2858,Ashburn Gardens,219500,Flat / Apartment,1623,3,3,3,,London,SW7 4DG
2859,Bazalgette Court,55000,Flat / Apartment,797,2,2,2,Great West Road,London,W6 9AG
2860,Waldemar Avenue,195000,House,2054,5,5,5,Bishops Park,Fulham,SW6 5LU
2861,Deodar Road,137500,House,1360,3,3,3,Putney,London,SW15 2NJ
2862,Thirsk Road,799999,Flat / Apartment,1090,2,2,2,,London,SW11 5SU
2863,Boyd Building,44000,Flat / Apartment,847,2,2,2,10 Frobisher Yard,London,E16 2GY
2864,Nottingham Place,350000,Flat / Apartment,1956,3,3,3,Marylebone,London,W1U 5NH
2865,Craig Tower,47500,Flat / Apartment,895,2,2,2, Bow,London,E3 4EF
2866,Cavendish Road,82500,Flat / Apartment,1312,3,3,3,Brondesbury,London,NW6 7XP
2867,Meadowbank,350000,House,2956,5,5,5,Primrose Hill,London,NW3 3AY
2868,Hillbrow,95000,Flat / Apartment,1239,3,3,3,,Richmond Hill,TW10 6BH
2869,Draycott Place,275000,Flat / Apartment,1474,3,3,3,,London,SW3 2SB
2870,Mogul Building,62500,Flat / Apartment,928,2,2,2, Stratford,London,E15 1FY
2871,Boat Race House,129500,New development,1487,2,2,2,63 Mortlake High Street,London,SW14 8HL
2872,West Hill Road,295000,House,2995,5,5,5,Putney,London,SW18 1LE
2873,Porchester Road,899995,Flat / Apartment,834,2,2,2,Notting Hill,London,W2 5DP
2874,Alvington Crescent,130000,House,1907,4,4,4,Hackney,London,E8 2NW
2875,Elizabeth Mews,149500,House,1020,2,2,2,Belsize Park,London,NW3 4UH
2876,Keble Place,79500,Flat / Apartment,922,2,2,2,Barnes,London,SW13 8HL
2877,Chiswick Quay,145000,House,2106,4,4,4,Chiswick,London,W4 3UR
2878,Sugden Road,79500,Flat / Apartment,860,2,2,2,,London,SW11 5ED
2879,Barmouth Road,76500,Flat / Apartment,993,2,2,2,Wandsworth,London,SW18 2DT
2880,Vicarage Drive,215000,House,2309,5,5,5,,London,SW14 8RX
2881,Ivory House,82500,Flat / Apartment,616,1,1,1,East Smithfield,London,E1W 1AT
2882,Pond Place,950000,House,4277,4,4,4,,London,SW3 6QJ
2883,Knivet Road,157500,House,1703,4,4,4, Fulham,London,SW6 1JJ
2884,Paget Place,157500,House,2514,4,4,4,Kingston upon Thames,Surrey,KT2 7HZ
2885,Wandsworth Road,135000,House,1900,4,4,4,,London,SW8 3JF
2886,Hans Crescent,205000,Flat / Apartment,1003,2,2,2,,London,SW1X 0LJ
2887,Beaufort Gardens,1999950,Flat / Apartment,802,2,2,2,,London,SW3 1PS
2888,Pond Street,87500,Flat / Apartment,943,2,2,2,Hampstead,London,NW3 2PS
2889,Glenburnie Road,127500,House,1445,3,3,3,,London,SW17 7NE
2890,Barrowgate Road,285000,House,2833,5,5,5,Chiswick,London,W4 4QU
2891,Bath Road,350000,House,3775,7,7,7,Bedford Park,London,W4 1LJ
2892,Stanlake Road,187500,House,2618,5,5,5,,London,W12 7HG
2893,Bridge Street,210000,House,2139,5,5,5,Chiswick,London,W4 5UF
2894,Abbey Lodge,375000,Flat / Apartment,2315,4,4,4, St John's Wood,London,NW8 7RJ
2895,Blomfield Road,245000,Flat / Apartment,1289,2,2,2,Little Venice,London,W9 2PD
2896,Arena Tower,49800,Flat / Apartment,554,1,1,1, Canary Wharf,London,E14 9TA
2897,Oxborough House,59000,Flat / Apartment,795,2,2,2,33 Eltringham Street,London,SW18 1GS
2898,Clerkenwell Road,90000,Flat / Apartment,756,2,2,2,,London,EC1M 5PY
2899,Cranley Gardens,119500,Flat / Apartment,850,1,1,1,,London,SW7 3DD
2900,Courtfield Gardens,219500,Flat / Apartment,1268,2,2,2,,London,SW5 0PD
2901,Bassein Park Road,240000,House,3029,6,6,6,,London,W12 9RZ
2902,Park Mansions,85000,Flat / Apartment,975,3,3,3, Battersea,London,SW11 4HQ
2903,Palace Road,425000,House,6632,7,7,7,East Molesey,Surrey,KT8 9DN
2904,Manor House,102500,Flat / Apartment,1070,3,3,3, Marylebone,London,NW1 5NP
2905,Balcombe Street,52000,Flat / Apartment,411,1,1,1,Marylebone,London,NW1 6HD
2906,Charlwood Road,195000,House,2158,3,3,3,Putney,London,SW15 1PW
2907,Corinthia Residences,895000,New development,2956,3,3,3,10 Whitehall Place,London,SW1A 2BD
2908,Crane Grove,799950,House,686,2,2,2,,London,N7 8LE
2909,Lansdowne Drive,129500,House,1364,3,3,3,Hackney,London,E8 3ER
2910,Winterdown Road,77500,House,1149,2,2,2,Esher,Surrey,KT10 8LJ
2911,Dartmouth Terrace,41000,Flat / Apartment,547,1,1,1,Blackheath,London,SE10 8AX
2912,Embassy Works,62500,Flat / Apartment,541,1,1,1,10-12 Lawn Lane,London,SW8 1UD
2913,Dance Square,65000,Flat / Apartment,571,1,1,1,,London,EC1V 3AN
2914,Beacon Tower,59500,Flat / Apartment,735,2,2,2,1 Spectrum Way,London,SW18 4GL
2915,Tamarind Court,265000,New development,1191,2,2,2,Stone Hall Gardens,London,W8 5UP
2916,Wandsworth Common West Side,250000,House,2882,6,6,6,Wandsworth,London,SW18 2ED
2917,Queenstown Road,95000,House,1661,4,4,4,Battersea,London,SW8 3QD
2918,Fladgate House,82000,New development,797,1,1,1,,4 Circus Road West,SW11 8EU
2919,Heath Rise,122500,Flat / Apartment,2056,3,3,3, Putney,London,SW15 3HF
2920,Pembridge Villas,179500,Flat / Apartment,1118,2,2,2,Notting Hill,London,W11 3EL
2921,The Woodlands,10000,House,1666,3,3,3,Esher,Surrey,KT10 8DD
2922,Holroyd Road,229500,House,2899,4,4,4,Putney,London,SW15 6LN
2923,Campden Hill Court,50000,Flat / Apartment,2248,4,4,4,Campden Hill Road,London,W8 7HX
2924,Campion Road,289500,House,3414,6,6,6,Putney,London,SW15 6NN
2925,Rutland Gate,10000,Flat / Apartment,728,2,2,2,,London,SW7 1BH
2926,Highbury New Park,62500,Flat / Apartment,825,2,2,2,,London,N5 2DJ
2927,Freeland Road,30000,House,4088,6,6,6,Ealing,London,W5 3HR
2928,Edge Hill,395000,New development,4438,5,5,5,Wimbledon,London,SW19 4NP
2929,Gorst Road,299900,House,3295,6,6,6,,London,SW11 6JE
2930,Gloucester Street,96500,Flat / Apartment,925,2,2,2,Pimlico,London,SW1V 2DB
2931,Byfeld Gardens,20000,House,2127,4,4,4,Barnes,London,SW13 9HP
2932,Montagu Mews West,50000,House,2332,4,4,4,,Marylebone,W1H 2EE
2933,Marryat Place,345000,New development,3802,5,5,5,Wimbledon,London,SW19 5BL
2934,Callow Street,89500,Flat / Apartment,555,1,1,1,,London,SW3 6BJ
2935,Oxshott,50000,House,7879,6,6,6,,Surrey,KT22 0QB
2936,Stanley Grove,109500,House,1256,4,4,4,,London,SW8 3PB
2937,West Eaton Place Mews,565000,House,2753,4,4,4,Belgravia,London,SW1X 8LY
2938,Foyle Road,282000,New development,3900,5,5,5,Blackheath,London,SE3 7RH
2939,Worple Avenue,225000,House,2835,5,5,5,Wimbledon,London,SW19 4JQ
2940,Speldhurst Road,145000,House,1667,4,4,4,South Hackney,London,E9 7EH
2941,City Road,70000,Flat / Apartment,997,2,2,2,,London,EC1V 2NR
2942,Exchange Building,185000,Penthouse,1836,2,2,2, Spitalfields,London,E1 6NQ
2943,Doughty Street,30000,House,3325,7,7,7,Bloomsbury,London,WC1N 2AA
2944,Boundaries Road,152500,House,2232,5,5,5,,London,SW12 8HG
2945,Hatton Wall,135000,Penthouse,1117,2,2,2,Clerkenwell,London,EC1N 8JJ
2946,Dallington Street,62500,Flat / Apartment,636,1,1,1,Clerkenwell,London,EC1V 0DB
2947,Marville Road,165000,House,1576,4,4,4,Fulham,London,SW6 7BB
2948,Inverness Street,45000,Flat / Apartment,500,1,1,1,Camden,London,NW1 7HB
2949,Telford Terrace,162500,House,1372,4,4,4,,London,SW1V 3AE
2950,The Drive,10000,House,1528,4,4,4,,Northwood,HA6 1HW
2951,Rosebery Avenue,85000,Flat / Apartment,848,2,2,2,Clerkenwell,London,EC1R 4UL
2952,Spencer Road,249500,House,3609,6,6,6,,Twickenham,TW2 5TH
2953,Chiswick Quay,225000,House,2469,4,4,4,,London,W4 3UR
2954,Hamilton Terrace,395000,House,2803,5,5,5,St. John's Wood,London,NW8 9UG
2955,Surrey Square,175000,House,2396,5,5,5,,London,SE17 2JX
2956,Newcastle House,119500,Flat / Apartment,678,1,1,1, Marylebone,London,W1U 5BR
2957,Magdalen Road,65000,Flat / Apartment,1077,2,2,2,Wandsworth,London,SW18 3NY
2958,Perrymead Street,30000,House,3027,5,5,5, Parsons Green,London,SW6 3SN
2959,Ceram Court,55000,Flat / Apartment,960,2,2,2, Bow,London,E3 3GW
2960,Bristol House,10000,Flat / Apartment,659,1,1,1,67 Lower Sloane Street,London,SW1W 8DD
2961,Park Square East,995000,House,4876,6,6,6,Regent's Park,London,NW1 4LH
2962,Chelsea Square,1195000,House,4785,5,5,5,,London,SW3 6LH
2963,Trefoil Road,150000,House,2123,5,5,5,Wandsworth,London,SW18 2EQ
2964,Leathwaite Road,599999,Flat / Apartment,665,2,2,2,,London,SW11 1XG
2965,Nevern Square,99500,Flat / Apartment,1021,2,2,2,,London,SW5 9NN
2966,Plender Street,52500,Flat / Apartment,565,1,1,1,Camden,London,NW1 0LB
2967,Ebury Street,239500,Flat / Apartment,1190,3,3,3,,London,SW1W 0PA
2968,Abingdon Court,210000,Flat / Apartment,1367,3,3,3, Kensington,London,W8 6BS
2969,Geraldine Road,80000,Flat / Apartment,1044,2,2,2,Wandsworth,London,SW18 2NT
2970,Glenalmond House,88500,Flat / Apartment,1113,3,3,3, Putney,London,SW15 3LP
2971,Howards Lane,239500,House,2881,5,5,5,Putney,London,SW15 6NZ
2972,Maitland Court,168000,Flat / Apartment,1502,3,3,3, Paddington,London,W2 3PD
2973,Thornton Avenue,20000,House,2178,4,4,4,Chiswick,London,W4 1QF
2974,Corney Reach Way,117500,House,1752,3,3,3,Chiswick,London,W4 2TY
2975,Fulham Park Gardens,235000,House,2720,6,6,6,Fulham,London,SW6 4JX
2976,Bute Avenue,420000,House,4591,6,6,6,Richmond,Surrey,TW10 7AX
2977,Chepstow Road,155000,Flat / Apartment,1227,2,2,2,Notting Hill,London,W2 5BH
2978,St. Dionis Road,250000,House,2314,4,4,4, Fulham,London,SW6 4TT
2979,Weststand Apartments,69500,Flat / Apartment,871,2,2,2,Highbury Stadium Square,London,N5 1FH
2980,Harefield,77500,House,1368,3,3,3,Esher,Surrey,KT10 9TG
2981,Philbeach Gardens,495000,House,4622,6,6,6,,London,SW5 9EB
2982,Philbeach Gardens,179500,Flat / Apartment,1402,4,4,4,,London,SW5 9DY
2983,Wandsworth Common West Side,255000,House,2665,5,5,5,Wandsworth,London,SW18 2ED
2984,Oyster Wharf,56500,Flat / Apartment,711,2,2,2, Battersea,London,SW11 3RJ
2985,Block A,250000,Flat / Apartment,1950,3,3,3,50 Holland Street,London,SE1 9FU
2986,East Hill,88500,Flat / Apartment,920,2,2,2,Wandsworth,London,SW18 2HG
2987,Sefton Street,399950,New development,362,1,1,1,Putney,London,SW15 1NA
2988,Darwin Court,89500,Flat / Apartment,1013,2,2,2, Primrose Hill,London,NW1 7BQ
2989,North Side Wandsworth Common,55000,Flat / Apartment,654,2,2,2,,London,SW18 2SL
2990,Airedale Road,145000,House,2270,4,4,4,,London,SW12 8SF
2991,Television Centre,116000,New development,861,2,2,2,101 Wood Lane,London,W12 7FT
2992,Atrium Apartments,250000,Flat / Apartment,1227,2,2,2, St John's Wood,London,NW8 7EA
2993,Ennismore Gardens,157500,Flat / Apartment,699,1,1,1,,London,SW7 1NP
2994,Langdon Park Road,250000,House,3613,7,7,7,Highgate,London,N6 5QG
2995,Draycott Place,115000,Flat / Apartment,682,1,1,1,,London,SW3 2SB
2996,Fassett Square,145000,House,1727,4,4,4,,London,E8 1DQ
2997,Cadogan Lane,265000,House,1304,2,2,2,,London,SW1X 9DX
2998,Birkbeck Road,117500,House,1601,4,4,4,Wimbledon,London,SW19 8NZ
2999,Loddiges Road,36000,Flat / Apartment,630,2,2,2,South Hackney,London,E9 7PJ
3000,Linnet Court,67000,Flat / Apartment,920,2,2,2, Putney,London,SW15 6RJ
3001,Thornton Place,799500,Flat / Apartment,898,2,2,2,,London,SW4 0AB
3002,Hartismere Road,125000,House,1828,4,4,4,Fulham,London,SW6 7UE
3003,Ayr Court,35000,Flat / Apartment,422,1,1,1,Monks Drive,London,W3 0EA
3004,Kings Drive,89500,House,1579,4,4,4,Thames Ditton,Surrey,KT7 0TH
3005,Fee Farm Road,150000,House,2122,5,5,5, Esher,Surrey,KT10 0JX
3006,Trevor Square,425000,House,1978,4,4,4,Knightsbridge,London,SW7 1DY
3007,Porteus Place,122500,Flat / Apartment,1262,3,3,3,,London,SW4 0AS
3008,Newark Street,115000,House,1447,4,4,4,,London,E1 2AA
3009,Queen Anne's Gate,1485000,House,7800,6,6,6,,London,SW1H 9AA
3010,Larkhall Rise,225000,House,2422,5,5,5,,London,SW4 6LB
3011,Gore Road,40500,Flat / Apartment,376,1,1,1,South Hackney,London,E9 7HR
3012,Eleven Acre Rise,275000,House,5310,5,5,5,Loughton,Essex,IG10 1AN
3013,Southgate Road,169500,House,2160,4,4,4,Islington,London,N1 3HX
3014,Cross Street,85000,Flat / Apartment,770,2,2,2,Islington,London,N1 2BA
3015,Television Centre,129500,Flat / Apartment,924,2,2,2,101 Wood Lane,London,W12 7FT
3016,80 Rainville Road,275000,Flat / Apartment,1765,3,3,3,Hammersmith,London,W6 9HS
3017,The Tower,275000,Flat / Apartment,1539,3,3,3, Vauxhall,London,SW8 2DA
3018,Maddox Street,150000,Flat / Apartment,638,1,1,1,,London,W1S 2QJ
3019,City Road,599950,Flat / Apartment,495,1,1,1,Clerkenwell,London,EC1V 2PY
3020,Mulberry Court,110000,Flat / Apartment,1461,3,3,3,1 School Mews,London,E1 0EW
3021,Eton Avenue,475000,House,2890,5,5,5,Belsize Park,London,NW3 3HL
3022,Castelnau,250000,House,3053,5,5,5,Barnes,London,SW13 9EW
3023,Richard Burbidge Mansions,125000,Flat / Apartment,1281,2,2,2,1 Brasenose Drive,London,SW13 8RB
3024,Boat Race House,165000,New development,1887,2,2,2,63 Mortlake High Street,London,SW14 8HL
3025,Cathcart Road,625000,House,3215,5,5,5,Chelsea,London,SW10 9NN
3026,London House,529500,Penthouse,2807,4,4,4, St John's Wood,London,NW8 7PX
3027,Hasker Street,350000,House,1481,3,3,3,,London,SW3 2LQ
3028,Ovington Square,1450000,House,7156,6,6,6,,London,SW3 1LJ
3029,Somerset Square,425000,House,2631,2,2,2,,London,W14 8EE
3030,Lanherne House,699950,Flat / Apartment,1087,3,3,3,9 The Downs,London,SW20 8JG
3031,Craven Hill Gardens,110000,Flat / Apartment,718,1,1,1,,London,W2 3EA
3032,Studdridge Street,310000,House,2885,6,6,6, Fulham,London,SW6 3SL
3033,Spinnaker House,70000,Flat / Apartment,990,2,2,2, Battersea,London,SW18 1FR
3034,Artillery Mansions,160000,Flat / Apartment,1078,2,2,2, Westminster,London,SW1H 0HX
3035,Huntingfield Road,62500,House,899,2,2,2,Putney,London,SW15 5ER
3036,Briary Close,189500,House,1975,5,5,5,Swiss Cottage,London,NW3 3JZ
3037,Ladbroke Grove,48500,Flat / Apartment,454,1,1,1,Notting Hill,London,W11 1PG
3038,Layer Gardens,215000,House,2887,6,6,6,Ealing,London,W3 9PR
3039,Sindercombe Mews,120000,House,1358,2,2,2,,London,W12 9BQ
3040,Faraday Lodge,56500,Flat / Apartment,895,2,2,2, Greenwich,London,SE10 0QL
3041,Broomwood Road,60000,Flat / Apartment,736,3,3,3,,London,SW11 6JF
3042,Boat Race House,185000,New development,1978,3,3,3,63 Mortlake High Street,London,SW14 8HL
3043,Eglantine Road,127500,House,1766,4,4,4,Wandsworth,London,SW18 2DD
3044,Longmoore Street,210000,House,1913,4,4,4,,London,SW1V 1JQ
3045,Elizabeth Street,345000,Flat / Apartment,2377,5,5,5,,London,SW1W 9PB
3046,Elsworthy Rise,105000,New development,546,1,1,1,Primrose Hill,London,NW3 3DS
3047,Well Road,695000,New development,4295,5,5,5,Hampstead,London,NW3 1LH
3048,St John Street,999950,Penthouse,764,2,2,2,,London,EC1V 4ND
3049,Mandeville Courtyard,99500,Flat / Apartment,1115,2,2,2, Battersea,London,SW11 4NB
3050,Hornsey Lane Gardens,115000,Flat / Apartment,1346,3,3,3,Highgate,London,N6 5NY
